,feeds_id,feeds_title,feeds_description,feeds_location,feeds_lng,feeds_lat,feeds_userId,feeds_name,feeds_isdeleted,feeds_profilePicture,feeds_videoUrl,feeds_images,feeds_mediatype,feeds_imagePaths,feeds_feedsComment,feeds_commentCount,feeds_multiMedia_id,feeds_multiMedia_name,feeds_multiMedia_description,feeds_multiMedia_url,feeds_multiMedia_mediatype,feeds_multiMedia_likeCount,feeds_multiMedia_place,feeds_multiMedia_createAt,feeds_likeDislike_likes,feeds_likeDislike_dislikes,feeds_likeDislike_userAction,feeds_createdAt,feeds_code,feeds_msg,totalFeed
0,2140.0,gj,ghj,"Hermannplatz 5-6, 10967 Berlin, Germany",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,0.0,3240,,None,http://www.youtube.com/embed/mPhboJR0Llc,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T13:32:16.7480006,0.0,None,125.0
1,2139.0,dfg,df,"443 N Rodeo Dr, Beverly Hills, CA 90210, USA",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,2.0,3239,,None,http://www.youtube.com/embed/RtFcZ6Bwolw,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T10:54:07.6092829,0.0,None,
2,2138.0,TEst Video,dflg sk mcn re  fg nerkzx xcvh ciu ,"IFFCO Chowk Flyover, Heritage City, Sector 29, Gurugram, Haryana 122001, India",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,0.0,3238,,None,http://www.youtube.com/embed/TUT2-FEPMdc,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T10:53:36.8157098,0.0,None,
3,2137.0,QQ,qq,"2001 NV-582, Las Vegas, NV 89101, USA",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,7.0,3237,,None,https://www.youtube.com/watch?v=Kg8VraUgpR4,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T10:41:58.6177919,0.0,None,
4,2136.0,gj,ghj,"103 B100, Anglesea VIC 3230, Australia",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,0.0,3236,,None,https://www.youtube.com/watch?v=WgmgSwkTUEM,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T10:37:30.5281724,0.0,None,
5,2135.0,sdf,sdf,"1 Downing St, Westminster, London SW1A 2AA, UK",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,0.0,3235,,None,https://www.youtube.com/watch?v=4uY4Pz0SuaM,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T10:35:11.7588502,0.0,None,
6,2134.0,Rinku Singh,Rinku Singh (born 8 August 1988) is an Indian professional wrestler and former professional baseball player currently signed with WWE and performs in their developmental territory NXT. Singh was signed by the Pittsburgh Pirates organization after he won a pitching contest on a 2008 reality television show The Million Dollar Arm.,"Unnamed Road Acharaya RamNH-74 Opposite Green Park, , Acharaya Ram Chandra Shukla Nagar Colony, Rudrapur, Uttarakhand 263153, India",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,2.0,3233,rinku_singh_1570092290_800x420.jpg,None,feedsmedia/4051/479386d2-7bee-4100-81d6-1c8ae1aab205.jpg,1,0,None,0001-01-01T00:00:00,1.0,0.0,2.0,2020-01-02T09:14:31.7214735,0.0,None,
7,,,,,,,,,,,,,,,,,3234,04rinku.jpg,None,feedsmedia/4051/b33d191a-4056-4dee-ad15-7b9ffc8ec337.jpg,1,0,None,0001-01-01T00:00:00,,,,,,,
8,2133.0,TRIP TO JAIPUR,"Jaipur is the capital of India’s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or “Pink City” for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence. Jaipur is the capital of India’s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or “Pink City” for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence.","1st Floor, Bambawala Kothi Opp. City Power House, Jaipur Rd, Parao, Ajmer, Rajasthan 305001, India",0.0,0.0,3039.0,jagjit,False,Images/fe49d058-de88-4805-8e2d-0c002b090d15.png,None,None,0.0,None,None,1.0,3232,,None,https://www.youtube.com/embed/lR6F_Edxabw,2,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T06:06:44.2317153,0.0,None,
9,2132.0,Test,LIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALL. LIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALL,"Royal Tower, Block A, Sector 60, Noida, Uttar Pradesh 201301, India",0.0,0.0,3039.0,jagjit,False,Images/fe49d058-de88-4805-8e2d-0c002b090d15.png,None,None,0.0,None,None,0.0,3231,Delhi.jpg,None,feedsmedia/3039/0e910f02-14fd-4cf0-a755-7eba194840d8.jpg,1,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-02T05:29:26.064171,0.0,None,
10,2131.0,awerfghnm,This is new Year 2020 and we are very happy. Thank you to much. And BYE BYE 2019,"14, Ambala-Dehradun-Haridwar Rd, Vidhan Sabha Marg, Shastri Nagar, Ajabpur Kalan, Dehradun, Uttarakhand 248121, India",0.0,0.0,3031.0,Ashish Thapliyal,False,Images/fc8af47d-ef15-4c25-9d3f-a7a58c7444f9.png,None,None,0.0,None,None,2.0,3230,Surabaya.jpg,None,feedsmedia/3031/1adbfd14-937c-4c06-ba00-99991eae4289.jpg,1,0,None,0001-01-01T00:00:00,0.0,0.0,2.0,2020-01-01T12:32:56.8783764,0.0,None,
11,2130.0,dfg,dfgdf,"Rannamõisa tee 4f, 13516 Tallinn, Estonia",0.0,0.0,3035.0,n1,False,Images/4e60754a-e8a7-4db7-b266-f28b2bcf00ae.png,None,None,0.0,None,None,1.0,3229,images.jpg,None,feedsmedia/3035/60ce92d1-b037-4a45-84a5-d6635095fa50.jpg,1,0,None,0001-01-01T00:00:00,1.0,0.0,2.0,2020-01-01T12:08:35.9430242,0.0,None,
12,2129.0,fgh,fgh,"Pattayasainueang, Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri 20150, Thailand",0.0,0.0,4051.0,manoj,False,Images/9b291404-bc2e-4806-88c5-08d29e65a5ad.png,None,None,0.0,None,None,1.0,3228,images.png,None,feedsmedia/4051/9449eb48-1377-416a-9867-ae5b9d8d884b.png,1,0,None,0001-01-01T00:00:00,1.0,0.0,2.0,2020-01-01T11:14:59.7028736,0.0,None,
